       origin,            N,           r0,   integrator,           ic,           dt,          div,           cc,          mcc,            t,       parity,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         3845,           23,     0.645161,            0,            1,     0.878423,     0.260601,     0.670941,    -0.828625,            2,     0.697641,     0.917819,     0.352823,     1.159747,            3,     0.693616,     0.908963,     0.557152,     0.791519,            4,     0.370612,     0.893946,    -0.303151,     0.922239,            5,     0.162367,     0.731984,    -0.790516,     0.542430,            6,     0.092902,     0.486672,    -0.952778,    -0.032049,            7,     0.180705,     0.243364,    -0.747576,    -0.601628,            8,     0.526010,     0.139488,     0.074624,    -1.056248,            9,     0.523477,     0.148314,     0.047418,    -0.605410,           10,     0.874247,     0.268849,     1.091063,    -0.291974,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         4145,           23,     0.677419,            0,            1,     0.900163,     0.247178,     0.772659,    -0.237211,            2,     0.707189,     0.948597,     0.244780,     0.963452,            3,     0.713422,     0.941129,     0.665195,     0.987814,            4,     0.360833,     0.923696,    -0.303151,     0.922239,            5,     0.136866,     0.749481,    -0.790516,     0.542430,            6,     0.062167,     0.485638,    -0.952778,    -0.032049,            7,     0.156590,     0.223956,    -0.747576,    -0.601628,            8,     0.526411,     0.112519,    -0.002406,    -1.047568,            9,     0.527013,     0.121682,     0.124448,    -0.614091,           10,     0.909347,     0.246124,     0.989345,    -0.883388,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         4445,           23,     0.709677,            0,            1,     0.936142,     0.232120,     1.210363,    -0.647739,            2,     0.720266,     0.975147,     0.374773,     0.780950,            3,     0.729699,     0.977524,     0.535202,     1.170316,            4,     0.351054,     0.953445,    -0.303151,     0.922239,            5,     0.111366,     0.766979,    -0.790516,     0.542430,            6,     0.031432,     0.484604,    -0.952778,    -0.032049,            7,     0.132474,     0.204549,    -0.747576,    -0.601628,            8,     0.526848,     0.086089,    -0.071963,    -1.013350,            9,     0.530513,     0.094509,     0.194005,    -0.648308,           10,     0.930206,     0.225034,     0.551641,    -0.472860,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         4709,           23,     0.741935,            0,            1,     0.962917,     0.206074,     0.626673,    -0.787105,            2,     0.726946,     0.987186,    -0.418343,    -0.478865,            3,     0.752373,     0.994705,     1.328319,    -0.487509,            4,     0.341275,     0.983195,    -0.303151,     0.922239,            5,     0.085865,     0.784477,    -0.790516,     0.542430,            6,     0.000698,     0.483570,    -0.952778,    -0.032049,            7,     0.108359,     0.185141,    -0.747576,    -0.601628,            8,     0.527501,     0.060156,    -0.125851,    -0.957626,            9,     0.533797,     0.066841,     0.247893,    -0.704032,           10,     0.960270,     0.214931,     1.135331,    -0.333494,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         4909,           23,     0.774194,            0,            1,     0.985587,     0.193762,     0.831692,    -0.223116,            2,     0.713451,     0.971739,    -0.418343,    -0.478865,            3,     0.795222,     0.978978,     1.328319,    -0.487509,            4,     0.331496,     0.987062,    -0.303151,    -0.922239,            5,     0.060365,     0.801974,    -0.790516,     0.542430,            6,     0.029896,     0.482537,     0.952778,    -0.032049,            7,     0.084244,     0.165734,    -0.747576,    -0.601628,            8,     0.528525,     0.034617,    -0.157720,    -0.886963,            9,     0.536710,     0.038778,     0.279762,    -0.774696,           10,     0.994438,     0.191095,     0.930311,    -0.897483,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         5107,           23,     0.806452,            0,            1,     0.991741,     0.174207,    -1.286503,    -0.806209,            2,     0.699956,     0.956292,    -0.418343,    -0.478865,            3,     0.838071,     0.963252,     1.328319,    -0.487509,            4,     0.321717,     0.957313,    -0.303151,    -0.922239,            5,     0.034864,     0.819472,    -0.790516,     0.542430,            6,     0.060630,     0.481503,     0.952778,    -0.032049,            7,     0.060128,     0.146327,    -0.747576,    -0.601628,            8,     0.530030,     0.009322,    -0.163816,    -0.809685,            9,     0.539141,     0.010471,     0.285858,    -0.851973,           10,     0.982895,     0.174501,     0.092434,    -0.314390,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         5306,           23,     0.838710,            0,            1,     0.966245,     0.152243,    -0.563073,     0.170922,            2,     0.686461,     0.940845,    -0.418343,    -0.478865,            3,     0.880920,     0.947526,     1.328319,    -0.487509,            4,     0.311938,     0.927563,    -0.303151,    -0.922239,            5,     0.009364,     0.836970,    -0.790516,     0.542430,            6,     0.091365,     0.480469,     0.952778,    -0.032049,            7,     0.036013,     0.126919,    -0.747576,    -0.601628,            8,     0.532134,     0.015652,     0.286848,     0.829913,            9,     0.540974,     0.017542,    -0.164806,     0.831746,           10,     0.969872,     0.160317,    -0.630995,    -1.291521,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         5506,           23,     0.870968,            0,            1,     0.945752,     0.141415,     0.066673,    -0.869056,            2,     0.672966,     0.925397,    -0.418343,    -0.478865,            3,     0.923769,     0.931800,     1.328319,    -0.487509,            4,     0.302159,     0.897813,    -0.303151,    -0.922239,            5,     0.015739,     0.854468,     0.790516,     0.542430,            6,     0.122100,     0.479435,     0.952778,    -0.032049,            7,     0.011897,     0.107512,    -0.747576,    -0.601628,            8,     0.534678,     0.041020,     0.273975,     0.905990,            9,     0.542367,     0.045776,    -0.151933,     0.755668,           10,     0.951847,     0.134997,    -1.260742,    -0.251543,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         5706,           23,     0.903226,            0,            1,     0.933665,     0.121734,    -1.134448,    -1.057315,            2,     0.659471,     0.909950,    -0.418343,    -0.478865,            3,     0.966618,     0.916074,     1.328319,    -0.487509,            4,     0.292379,     0.868064,    -0.303151,    -0.922239,            5,     0.041239,     0.871965,     0.790516,     0.542430,            6,     0.152835,     0.478401,     0.952778,    -0.032049,            7,     0.012139,     0.088105,     0.747576,    -0.601628,            8,     0.537672,     0.066665,     0.236243,     0.973293,            9,     0.543310,     0.073732,    -0.114201,     0.688365,           10,     0.925415,     0.118529,    -0.059620,    -0.063284,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,         5906,           23,     0.935484,            0,            1,     0.910199,     0.097633,    -0.853089,     0.125466,            2,     0.645976,     0.894503,    -0.418343,    -0.478865,            3,     0.991042,     0.900348,    -1.328319,    -0.487509,            4,     0.282600,     0.838314,    -0.303151,    -0.922239,            5,     0.066740,     0.889463,     0.790516,     0.542430,            6,     0.183570,     0.477367,     0.952778,    -0.032049,            7,     0.036254,     0.068697,     0.747576,    -0.601628,            8,     0.540994,     0.092723,     0.178055,     1.023965,            9,     0.543925,     0.101276,    -0.056013,     0.637693,           10,     0.910363,     0.106482,    -0.340980,    -1.246065,
